port,protocol,title,domain,country,as_organization,host,ip,city
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://milflover1.www.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://vpn0051.www.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://woowseries.www.asiapeak.com,220.128.97.53,Taipei
443,https,Being - 成为 Being，Being What you think,haimingli.me,CN,"Alibaba US Technology Co., Ltd.",https://www.haimingli.me,47.90.100.91,Central
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://pop.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://imap.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://connectwww.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://g3yulechengdailizhuce.www.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://mx.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://pop3.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://doh.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://scanmaniacs.www.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://wanrosnah.www.asiapeak.com,220.128.97.53,Taipei
443,https,江苏稻草人网络技术有限公司,jsdcr.com,CN,"Hangzhou Alibaba Advertising Co.,Ltd.",https://www.jsdcr.com,47.100.23.158,Shanghai
443,https,重庆若可网络安全测评技术有限公司-,rksec.cn,CN,"Hangzhou Alibaba Advertising Co.,Ltd.",https://www.rksec.cn,47.108.14.177,
443,https,L0ki,l0ki.top,CN,"Hangzhou Alibaba Advertising Co.,Ltd.",https://tools.l0ki.top,120.79.12.6,Shenzhen
443,https,Sec-Fallenangel &#8211; 个人技术交流分享博客,secfa.cn,CN,CHINA UNICOM China169 Backbone,https://blog.secfa.cn,153.0.228.250,
443,https,NightZone - 夜区,edisec.net,CN,Chinanet,https://nz.edisec.net,223.247.158.172,
443,https,"
HanYu瀚育科技 | 專業二手伺服器買賣	",cewolf.com.tw,CN,GOOGLE-CLOUD-PLATFORM,https://www.cewolf.com.tw,104.199.234.114,Taipei
443,https,安全动态,hanlinsec.com,CN,"CHINATELECOM Guangxi Nanning IDC networkdescr: NanningGuangxi Province, P.R.China.",https://blog.hanlinsec.com,116.253.29.189,Liuzhou
443,https,BIG-IP logout page,cdngtm.com,CN,Chinanet,https://cnnjvpn.trendmicro.com.cdngtm.com,218.2.208.69,Suzhou
443,https,网络安全宣传网,nuc.edu.cn,CN,China Education and Research Network Center,https://wlaqxc.nuc.edu.cn,202.207.177.42,
443,https,BIG-IP logout page,hkbu.edu.hk,CN,Hong Kong Baptist University,https://vnode-uat.hkbu.edu.hk,175.159.154.143,
443,https,BIG-IP logout page,hkbu.edu.hk,CN,Hong Kong Baptist University,https://vnode.hkbu.edu.hk,175.159.154.54,
443,https,BIG-IP logout page,rrd.com,CN,Chinanet,https://asiavpn1.rrd.com,218.17.250.147,Shenzhen
443,https,华南网络安全,,CN,"Alibaba US Technology Co., Ltd.",https://8.210.75.229,8.210.75.229,Central
